Title,Channel,Description,Link,Views,Likes,Comments
Susan&#39;s brain: The science of addiction,Harvard Online,"Learn how opioid receptors regulate pain signals, how the body releases natural painkillers called endorphins, and how ...",https://www.youtube.com/watch?v=pe5loX720Rk,25218,660,66
How an Addicted Brain Works,Yale Medicine,"For more information on addiction services at #YaleMedicine, visit: ...",https://www.youtube.com/watch?v=RZ5LH634W8s,34193,896,89
Addiction 101 w/ R. Kathryn McHugh,Harvard Brain Science Initiative,This presentation provides an overview of the continuum of substance use from initiation through addiction. Viewers will learn ...,https://www.youtube.com/watch?v=ioKJ0tZKdXs,6996,183,18
The Neuroscience of Addiction - with Marc Lewis,The Royal Institution,"Neuroscientist and former addict Marc Lewis makes the case that addiction isn't a disease at all, although it has been recently ...",https://www.youtube.com/watch?v=aOSD9rTVuWc,39208,1027,102
The Science of Addiction,Petrie-Flom Center,"May 17, 2022 Event Description Advances in the scientific understanding of addiction have important implications for treatment, ...",https://www.youtube.com/watch?v=Ea8iPuuxuwg,24273,636,63
Debunking misconceptions around addiction,Harvard Health Publishing,"Michael Bierer, MD, addiction specialist and assistant professor of medicine at Harvard Medical School, discusses the ...",https://www.youtube.com/watch?v=RTqqY1uKChU,43192,1131,113
Psychedelic Medicine: From Tradition to Science,Harvard Medical School,"Researchers in neuroscience, psychiatry, and clinical practice join other leaders in psychedelic medicine to discuss this rapidly ...",https://www.youtube.com/watch?v=SwMHr43fTqE,29041,761,76
Making addiction a brain disease: A social history of addiction neuroscience with Nancy Campbell,Penn Center for Neuroscience & Society,Professor Nancy Campbell is a Professor and the Department Head of the Department of Science and Technology Studies (STS) ...,https://www.youtube.com/watch?v=bZ60CJPoU18,23571,617,61
The Chronic Pain Epidemic: What&#39;s to Be Done? | The Forum at HCSPH,Harvard University,"More than 100 million Americans struggle with chronic pain, according to one Institute of Medicine estimate, at an annual cost of ...",https://www.youtube.com/watch?v=re_9hAxbhbI,28073,735,73
Faculty Insight: Is Addiction a Choice?,GBH Forum Network,Faculty Insight is produced in partnership with Harvard University Extension School and ThoughtCast. This first interview of the ...,https://www.youtube.com/watch?v=Fh6VlOD-cFw,47542,1245,124
Moral Agency and the Neuroscience of Addiction,Institute for the Liberal Arts at Boston College,"The Park Street Corporation Speaker Series welcomed Steven E. Hyman, M.D., Harvard University Distinguished Service ...",https://www.youtube.com/watch?v=edrhEv7Zn7s,44127,1156,115
Opioids and Addiction: A Governors Roundtable on State Approaches to Treatment,Harvard University,President Trump recently described a plan to tackle the opioid abuse crisis that includes tougher sentencing on dealers and ...,https://www.youtube.com/watch?v=OTJpeNBHl9k,24634,645,64
ADHD &amp; THE PACKET: THE HIDDEN TRUTH ❄️❄️❄️,Elliott Wald,ADHD and packet addiction it's more connected than you think. Many people with ADHD turn to packets because they temporarily ...,https://www.youtube.com/watch?v=M6hJBChejaA,45995,1205,120
Understanding &amp; Treating Addiction | Dr. Anna Lembke,Andrew Huberman,"In this episode I interview Dr. Anna Lembke, MD, Chief of the Stanford Addiction Medicine Dual Diagnosis Clinic at Stanford ...",https://www.youtube.com/watch?v=p3JLaF_4Tz8,13354,349,34
What Alcohol Does to Your Body: Harvard’s Dr. Sarah Wakeman With the Medical Facts You Need to Know,Mel Robbins,Order your copy of The Let Them Theory https://melrob.co/let-them-theory The #1 Best Selling Book of 2025 Discover how ...,https://www.youtube.com/watch?v=6tXoJN8-H6k,48652,1275,127
Opioids 101: Understanding How These Painkillers Work | Mayo Clinic,Mayo Clinic Press,"What makes opioids so addictive? In this video, you'll learn how opioids affect the brain and what can make an effective painkiller ...",https://www.youtube.com/watch?v=IJlAmm9ypCI,9149,239,23
Mayo Clinic Q&amp;A podcast: Opioid crisis worsens during pandemic,Mayo Clinic,"Stress, isolation and limited access to resources are fueling rising rates of substance abuse and overdoses during the COVID-19 ...",https://www.youtube.com/watch?v=-aOenMWW-00,6304,165,16
Opioid Best Practices,Mayo Clinic,This online CME course highlights the shift in guidelines and public concern regarding the use of opioids in medical practice.,https://www.youtube.com/watch?v=Z8Jwn4gmt28,32053,840,84
A Guide to Opioid Addiction and Safe Use | Mayo Clinic,Mayo Clinic Press,"Developed by Mayo Clinic leaders and championed by people willing to share their personal experiences, our latest publication, ...",https://www.youtube.com/watch?v=mcHrN6JKvgw,41592,1089,108
The Opioid Epidemic: Understanding the Crisis | Mayo Clinic,Mayo Clinic Press,"How exactly did we manage to end up with the opioid epidemic, and how do we dig ourselves out? Pick up your copy: ...",https://www.youtube.com/watch?v=tgu0Y0TEJUA,26210,686,68
Opioid Prescriptions: What to Expect | Mayo Clinic,Mayo Clinic Press,"You've just been prescribed an opioid by your doctor. Now what? What should you expect in regard to dosing, side effects, and ...",https://www.youtube.com/watch?v=Kpwpa0Uw8Zg,41669,1092,109
Defining Opioids | Mayo Clinic,Mayo Clinic Press,"You've likely heard the term ""opioids"" before, as well as all the negative connotations that come with it. But what exactly ARE ...",https://www.youtube.com/watch?v=3OhbsvdVc34,22914,600,60
Opioid Use Disorder: How to Manage It and Regain Control | Mayo Clinic,Mayo Clinic Press,"Opioid addiction can be scary, whether you're going through it yourself or watching a loved one struggle. However, there are ...",https://www.youtube.com/watch?v=dEEnYrYeyKs,8463,221,22
Opioid Withdrawals Explained: Understanding the Symptoms and Treatment | Mayo Clinic,Mayo Clinic Press,"If you've been using opioids for a few weeks or more, there is a likelihood that you'll experience withdrawals when you stop taking ...",https://www.youtube.com/watch?v=Ac6mITsO3uk,9157,239,23
Mayo Clinic Minute: Role for opioid use,Mayo Clinic,"Opioid overdoses have been linked to a decreased life span, according to recent data from the Centers for Disease Control and ...",https://www.youtube.com/watch?v=dwju4196Rb0,10763,282,28
Opioid Epidemic Chat with Dr. Hooten,Mayo Clinic,"Join us on Thursday, September 22 at 3:30pm CT for a live discussion with Dr. W. Michael Hooten, an aesthesiologist and pain ...",https://www.youtube.com/watch?v=3OaH5MdGTng,43936,1151,115
Opioid Epidemic: Mayo Clinic Radio,Mayo Clinic,"Dr. Michael Hooten, an anesthesiologist and pain medicine specialist at Mayo Clinic, discusses the opioid epidemic in America.",https://www.youtube.com/watch?v=LYKVjhnmdT8,37364,979,97
Mayo Clinic Minute: Opioid Overdose Drug,Mayo Clinic,"A growing number of law and health care agencies are working to make naloxone (Narcan), available without a prescription.",https://www.youtube.com/watch?v=Hn5WQvO5q3Q,27166,711,71
Breaking the Cycle of Opioid Addiction: A Guide for Recovery | Mayo Clinic,Mayo Clinic Press,"Opioid addiction may feel insurmountable, but it's simply not true – there is hope for recovery, but it involves a comprehensive plan ...",https://www.youtube.com/watch?v=YqJbswhE3iQ,23746,622,62
Opioid Use Disorder from Opioid Prescriptions: What Are the Chances? | Mayo Clinic,Mayo Clinic Press,"If you've recently been prescribed an opioid by your doctor, it's likely that you've heard the risks of becoming addicted and ...",https://www.youtube.com/watch?v=anbuhvtsQSM,14698,385,38
5. Drug Policy: It&#39;s Not a No Brainer,Stanford,Keith Humphreys is a Professor and the Section Director for Mental Health Policy in the Department of Psychiatry and Behavioral ...,https://www.youtube.com/watch?v=8IKSil-e5Lg,40243,1054,105
Stanford (SCHE) Psychology of Addiction and Recovery | Trailer,GetSmarter,This six-week Psychology of Addiction and Recovery online short course from the Stanford Center for Health Education highlights ...,https://www.youtube.com/watch?v=4-TrUMiF8c0,32976,864,86
Stanford scientists produce cancer drug in a plant,Stanford,"A common cancer drug was discovered in a Himalayan plant, and until now that plant was the only source of the drug. Now, a ...",https://www.youtube.com/watch?v=_HdMkSEQU8k,49123,1287,128
"Substance Use: Helping Someone with Addiction, Treatments that Work | Stanford",Stanford Center for Health Education,"Dr. Anna Lembke explains what substance use disorder (SUD) is, and how to help someone with addiction. She discusses how ...",https://www.youtube.com/watch?v=_YiY6qCj2VE,14771,387,38
The Science of Addiction | Stanford’s Leading Psychiatrist - Dr. Anna Lembke,TheMedEmpire Podcast,Dr. Anna Lembke is a renowned psychiatrist and one of the world's leading experts in addiction medicine. She serves as ...,https://www.youtube.com/watch?v=JNgVwcc3nFA,29960,785,78
Stanford Pediatric Grand Rounds: The Opioid Epidemic: From Freud to Fentanyl (10.18.19),Stanford Department of Pediatrics,Pediatric Grand Rounds- The Lawrence G. Crowley Distinguished Lecture Series: The Opioid Epidemic: From Freud to Fentanyl ...,https://www.youtube.com/watch?v=4Ty1DYKhw9s,5672,148,14
"Psychedelics for Depression, Anxiety, &amp; Other Mental Health Conditions | Stanford",Stanford Center for Health Education,"Psychedelics have re-emerged in the world of medicine as a promising treatment for post traumatic stress disorder (PTSD), ...",https://www.youtube.com/watch?v=dYN64GJzGfc,9901,259,25
Alcohol Addiction: How To Detox &amp; Begin Recovery | Stanford,Stanford Center for Health Education,"In this video, Dr. Anna Lembke explains what it's like to detox from alcohol and begin the recovery process. She describes how to ...",https://www.youtube.com/watch?v=VhIe9Y6t6mE,46232,1211,121
Rebuilding Iraq&#39;s Mental Health Care System,Stanford,"June 29, 2007 presentation by Keith Humphreys for the Stanford School of Medicine Medcast lecture series. Keith Humphreys ...",https://www.youtube.com/watch?v=qGhiBP_hniw,11171,292,29
The Development of Drugs: Benefit/Risk Assessment in Chronic and Rare Diseases,Stanford,"Dr. Vikram Sinha, Director of Division of Pharmacometrics from the Office of Translational Sciences, CDER, FDA describes ...",https://www.youtube.com/watch?v=zAKbM3ZIIvk,49856,1306,130
"Wilson Compton presents Addiction, Treatment, &amp; Criminal Responsibility. Stanford, March, 2013",LawNeuro.org,"Dr. Wilson Compton presents Addiction, Treatment, and Criminal Responsibility at the Colloquium on Law, Neuroscience, and ...",https://www.youtube.com/watch?v=geFV2BLS9UE,10549,276,27
Methamphetamine: An American Epidemic,Stanford Medicine,"Nick Reding, author of Methland and Stanford Psychiatry and Behavioral Sciences Professor Keith Humphreys, PhD, January 19, ...",https://www.youtube.com/watch?v=DA7oKMQeVKM,14892,390,39
Research into Cancer Treatments,Stanford,"(May 18, 2010) Philip Beachy, Ph.D. and Ron Levy, Ph.D discuss different approaches to cancer therapy, research, and clinical ...",https://www.youtube.com/watch?v=mC78slhAtzo,25185,660,66
Cutting Edge Research at Stanford: Can Skin Cells Be a Biomarker and Lead to a Drug Treatment?,Stanford APDA Information & Referral Center,Stanford's APDA Information & Referral Center and Stanford Parkinson's Community Outreach coordinate a local Parkinson's ...,https://www.youtube.com/watch?v=Nbvou1cUMxs,37548,984,98
What are some of the treatments for substance use disorders? #addiction #science #research #nih,National Institutes of Health (NIH),What are some of the treatments for substance use disorders? @NIDANIH Director Dr. Nora Volkow answers.,https://www.youtube.com/watch?v=XUNfp1DB-DI,31886,835,83
"Personalized Treatment for Alcohol Addiction - Markus Heilig, NIH Clinician Scientist",NIH IRP (Intramural Research Program at the National Institutes of Health),"While at the National Institutes of Health (NIH) Intramural Research Program (IRP), Markus Heilig, M.D., Ph.D., and his team ...",https://www.youtube.com/watch?v=oGUpRmDkWes,26492,694,69
Trying to Get Sober? NIH Offers New Tool,Associated Press,Finding good care for alcohol problems can be confusing. The National Institutes of Health's Alcohol Treatment Navigator is an ...,https://www.youtube.com/watch?v=swIIsvikPww,28525,747,74
Short Takes With NIAAA: What Are the Treatment Options for Alcohol Use Disorder?,National Institutes of Health (NIH),"Learn about treatment options for alcohol use disorder, including medications, behavioral health treatments, and mutual support ...",https://www.youtube.com/watch?v=SZhXdVs1Mmo,44123,1156,115
Short Takes with #NIAAA: What is Alcohol Use Disorder (AUD)?,National Institutes of Health (NIH),"Learn about the definition of alcohol use disorder (AUD), signs of AUD, and what you can do to get help. For more information ...",https://www.youtube.com/watch?v=Kw8veYE93LA,39068,1023,102
Finding Quality Treatment with the #NIAAA Alcohol Treatment Navigator,National Institutes of Health (NIH),Finding quality alcohol treatment doesn't have to be difficult or stressful—the NIAAA Alcohol Treatment Navigator can help.,https://www.youtube.com/watch?v=XlTKwl715ZM,11905,311,31
NIH Alcohol Study,Northwestern News Network,,https://www.youtube.com/watch?v=GEwSL0F6wH0,42169,1105,110
#NIAAA Alcohol Treatment Navigator,National Institutes of Health (NIH),"Learn how the NIAAA Alcohol Treatment Navigator can help you find high-quality, evidence-based alcohol treatment in your area.",https://www.youtube.com/watch?v=G1OGNOj-tbE,7525,197,19
Trying to Get Sober? NIH Offers New Tool,AP Archive,(3 Oct 2017) ACCORDING TO A GOVERNMENT STUDY... MORE THAN 15 MILLION ADULTS IN THE US HAVE PROBLEMS ...,https://www.youtube.com/watch?v=gtYEyFiWK_M,40390,1058,105
Introducing and Demonstrating the #NIAAA Alcohol Treatment Navigator,National Institutes of Health (NIH),"This video features a demonstration of the NIAAA Alcohol Treatment Navigator, presented by Dr. George F. Koob, director of the ...",https://www.youtube.com/watch?v=Um8GeBzG0ps,43237,1133,113
#NIHHEAL: Barriers to Treatment Within the Recovery Community,National Institutes of Health (NIH),"Addiction medicine specialist Dr. Gavin Bart of Hennepin Healthcare in Minneapolis, Minnesota, is a clinical investigator in the ...",https://www.youtube.com/watch?v=_e0LmnydcwY,42366,1110,111
Penny Mills Discusses the #NIAAA Alcohol Treatment Navigator,National Institutes of Health (NIH),"Penny Mills, executive vice president and CEO of the American Society of Addiction Medicine, discusses the NIAAA Alcohol ...",https://www.youtube.com/watch?v=V2_mr1IVlig,31287,819,81
"#NIAAA: Alcohol Education, Prevention, and Treatment—Creating a Climate of Trust",National Institutes of Health (NIH),"Professor Steven V. Roberts of the George Washington University, along with National Institute on Alcohol Abuse and Alcoholism ...",https://www.youtube.com/watch?v=TRzf74Enpvk,12978,340,34
How Alcohol affects your Health,MEDspiration,Click here to SUBSCRIBE to our channel: https://www.youtube.com/channel/UCBILFOvoJ4x2bRhfSapAopA?sub_confirmation=1 ...,https://www.youtube.com/watch?v=tlVVM11PlxQ,21167,554,55
