Title,Channel,Description,Link,Views,Likes,Comments
মাদকাসক্তি: সর্বনাশা আসক্তি থেকে মুক্তির উপায় ও নতুন জীবন,Health Care Bangla,মাদকাসক্তি | লক্ষন | বেঁচে থাকার উপায় Drug addiction | Symptoms |The Way to Survive ...,https://www.youtube.com/watch?v=5BJwb20UQQ4,532253,5743,1148
মাদকাসক্তির চিকিৎসা কী,DBC NEWS,বিস্তারিত খবরের জন্য ভিজিট করুন https://dbcnews.tv ফেসবুক ...,https://www.youtube.com/watch?v=EriNasHJIU8,993847,10724,2144
মাদকাসক্ত তরুণ-তরুণীরা যেভাবে চিকিৎসা নেবেন । Shastho Protidin | স্বাস্থ্য প্রতিদিন |,NTV Health,"NTV Health show “Shastho Protidin” (স্বাস্থ্য প্রতিদিন) brings you expert medical advice, daily health tips, ...",https://www.youtube.com/watch?v=qlY92JAtOfA,344588,3718,743
ঘরে বসেও মাদকাসক্তের চিকিৎসা হয়! | Drug Addiction Treatment | Somoy TV,SOMOY TV,drugaddictiontreatment #drugaddictionawareness #somoytv ঘরে বসেও মাদকাসক্তের চিকিৎসা হয়!,https://www.youtube.com/watch?v=Sy8zcZuKtTQ,170343,1838,367
মাদকাসক্ত ব্যক্তিকে কম সময়ে স্বাভাবিক জীবনে ফেরাতে পুলিশের মাদকাসক্তি নিরাময় কেন্দ্র ওয়েসিস ||Oasis,Independent Television,মাদকাসক্ত ব্যক্তিকে কম সময়ে স্বাভাবিক জীবনে ফেরাতে কাজ করছে ...,https://www.youtube.com/watch?v=7NL2WLH0f6A,544469,5875,1175
কিভাবে চিকিৎসা ছাড়াই মাদক থেকে মুক্তি পাবেন?|| How to get rid of drugs without treatment? Bangla,Shikhte Chai,,https://www.youtube.com/watch?v=mDyeNumC_Fk,635172,6853,1370
মাদক থেকে মুক্তির উপায় ‼️ মাশা-আল্লাহ কত সুন্দর করে কথাগুলো বুঝিয়ে দিলেন। আবু ত্বহা মুহাম্মদ আদনান,TZ islamic waz,মাদক থেকে মুক্তির উপায় ‼️ মাশা-আল্লাহ কত সুন্দর করে কথাগুলো ...,https://www.youtube.com/watch?v=-OCzffN3iRQ,317546,3426,685
মাদকাসক্তি ও তার চিকিৎসা | Drug Addiction And Its Treatment | Sorasori Doctor | Ep - 43 | Talk Show,Boishakhi TV,Special Program: https://boishakhi.media/special SUBSCRIBE Our Channel Now ...,https://www.youtube.com/watch?v=-RMeN4jACTQ,166872,1800,360
মাদকাসক্ত রোগের চিকিৎসা কতদিন দিতে হয়? | Counselling Psychologist Raju Akon,Raju Akon (Psychologist),"""মাদকাসক্ত রোগের চিকিৎসা কতদিন দিতে হয়? | Raju Akon"" মাদকাসক্তি একটি ...",https://www.youtube.com/watch?v=xnubT8FPFvk,227037,2449,489
Drug Addiction থেকে মুক্তির উপায় | ড. শাহানুর হোসেন,Bangladesh Psychiatric Care,মাদকাসক্তি এমন একটি রোগ যা একজন ব্যক্তির মস্তিষ্ক এবং আচরণকে ...,https://www.youtube.com/watch?v=O9E2O6GAyz4,789505,8519,1703
Addiction is not a habit | নেশা থেকে মুক্তির উপায় | Dr. Anirban Gozi on overcoming Addiction |,Prescription Plus,Addiction is not a habit | নেশা থেকে মুক্তির উপায় | Dr. Anirban Gozi on overcoming Addiction | A habit ...,https://www.youtube.com/watch?v=95Bo4GR72RE,851588,9189,1837
"মাদকাসক্তি একটি রোগ, না লুকিয়ে দ্রুত চিকিৎসা নিন | Prof Dr Shalahuddin Qusar Biplob",Prof Dr Shalahuddin Qusar Biplob - Psychiatrist,মাদকাসক্তি লুকিয়ে না রেখে দ্রুত চিকিৎসা নিন | Prof Dr Shalahuddin Qusar Biplob ...,https://www.youtube.com/watch?v=F89BORTeGZY,129385,1396,279
How to Get Rid of Addiction || মাদক ও অন্যান্য আসক্তি থেকে মুক্তির উপায়,Rehealth TV,মাদক ও অন্যান্য আসক্তি থেকে মুক্তির উপায় || How to get rid of Addiction Dr. Chironjib ...,https://www.youtube.com/watch?v=lIG-ZI7WFbo,327555,3534,706
মাদক থেকে মুক্তির শ্রেষ্ঠ উপায় ❗#আবু_ত্বহা_মুহাম্মদ_আদনান #shorts #viral #ইনশাআল্লাহ,দ্বীনের ফেরিওয়ালা ,,https://www.youtube.com/watch?v=K0_GF5a-V3w,485865,5242,1048
ধুমপানের নেশা পরিত্যাগ করার সহজ উপায়  | Health Tips Bangla | সুস্থ থাকার উপায় | পর্ব ২৩,Panvision TV,Click Here For Subscription : http://bit.ly/PanvisionTV ধুমপানের নেশা পরিত্যাগ করার সহজ উপায় ...,https://www.youtube.com/watch?v=cQImNw666NI,626640,6761,1352
"মাদকাসক্তি একটি রোগ,দ্রুত চিকিৎসা করুন | Prof Dr Shalahuddin Qusar Biplob",Prof Dr Shalahuddin Qusar Biplob - Psychiatrist,"মাদকাসক্তি একটি রোগ,দ্রুত চিকিৎসা করুন | Prof Dr Shalahuddin Qusar Biplob Professor Dr.",https://www.youtube.com/watch?v=bLoEUZ6UsE8,581217,6271,1254
প্রশ্ন যুব সমাজ নেশায় জুয়ায় আসক্ত এর  থেকে বাঁচার উপায় কি? শাইখ আহমাদুল্লাহ Shaikh Ahmadullah,Islamic Choice TV,https://www.facebook.com/Islamic-choice-tv-613809695748553 যুবদের জন্য বিশেষ নসিহত মাদক থেকে ...,https://www.youtube.com/watch?v=9kKgD8KLd4c,205024,2212,442
"ধূমপান বা মদ্যপানের নেশা ছাড়ানোর উপায় | How to Stop Addictions (Smoking, Alcohol, &amp; Drugs)",Health Inside | বাংলা,addictiontreatment #healthtips #healthinside ধূমপান বা মদ্যপানের নেশা ছাড়ানোর উপায় | How ...,https://www.youtube.com/watch?v=3mfK62p-tZs,718116,7748,1549
মাদক থেকে বাঁচার উপায় | সর্বনাশা মাদক | Sanjida Parvin | সানজীদা পারভীন | madok,Amader Doctor,SUBSCRIBE Our Channel For New Videos ▻ https://www.youtube.com/amaderdoctor মাদক থেকে বাঁচার ...,https://www.youtube.com/watch?v=-qzaKtKt7VY,156972,1693,338
নেশাগ্রস্ত ব্যক্তি নেশা ছাড়ানোর চিকিৎসা পদ্ধতি কি কি? #doctor #health,Bissoy Health Tips,,https://www.youtube.com/watch?v=SF3uB-Gr7Cs,860941,9289,1857
গোপনে মদ ছাড়াতে চান? জানুন সত্যি🤯,Dr. Sandipan Ghosh,জানেন কি গোপনে মদ ছড়ানোর পদ্ধতি আপনার কাছের মানুষের জন্য খুব ...,https://www.youtube.com/watch?v=X0dgrZ7mdz4,694986,7499,1499
